fullName,owner,name,stars,inDeg,pagerank,daysSinceUpdate,latestToolchain,repoUrl,composite_rank
fpvandoorn/LeanCourse,fpvandoorn,LeanCourse,44,0,0.0008650948644855007,33,leanprover/lean4:v4.13.0-rc3,https://github.com/fpvandoorn/LeanCourse24,147.33333333333334
google-deepmind/minif2f,google-deepmind,minif2f,9,0,0.0008650948644855007,16,leanprover/lean4:v4.27.0,https://github.com/google-deepmind/miniF2F,147.66666666666666
GasStationManager/ArtificialAlgorithms,GasStationManager,ArtificialAlgorithms,11,0,0.0008650948644855007,17,leanprover/lean4:v4.27.0,https://github.com/GasStationManager/ArtificialAlgorithms,148.66666666666666
wellecks/ntptutorial,wellecks,ntptutorial,179,0,0.0008650948644855007,56,leanprover/lean4:nightly-2023-06-10,https://github.com/wellecks/ntptutorial,149.0
BoltonBailey/formalSnarksProject,BoltonBailey,formalSnarksProject,61,0,0.0008650948644855007,38,leanprover/lean4:v4.10.0-rc2,https://github.com/BoltonBailey/formal-snarks-project,149.0
amarmaduke/lean-subst,amarmaduke,lean-subst,11,1,0.001600391635088692,22,leanprover/lean4:v4.29.0,https://github.com/amarmaduke/lean-subst,149.33333333333334
leanprover-community/ConNF,leanprover-community,ConNF,83,0,0.0008650948644855007,44,leanprover/lean4:v4.21.0-rc3,https://github.com/leanprover-community/con-nf,150.0
codyroux/traat,codyroux,traat,18,0,0.0008650948644855007,24,leanprover/lean4:v4.30.0-rc1,https://github.com/codyroux/traat-lean,151.0
ionathanch/MutualInduction,ionathanch,MutualInduction,28,1,0.001600391635088692,40,leanprover/lean4:v4.29.0,https://github.com/ionathanch/MutualInduction,151.0
argumentcomputer/yatima,argumentcomputer,yatima,146,0,0.0008650948644855007,56,leanprover/lean4:nightly-2023-01-10,https://github.com/argumentcomputer/yatima,151.0
hawkrobe/linglib,hawkrobe,linglib,7,0,0.0008650948644855007,15,leanprover/lean4:v4.29.1,https://github.com/hawkrobe/linglib,151.33333333333334
weiran-sun/PDE,weiran-sun,PDE,7,0,0.0008650948644855007,15,leanprover/lean4:v4.27.0,https://github.com/weiran-sun/pde,151.33333333333334
vltanh/lean4-analysis-tao,vltanh,lean4-analysis-tao,23,0,0.0008650948644855007,28,leanprover/lean4:v4.29.0,https://github.com/vltanh/lean4-analysis-tao,151.66666666666666
vihdzp/Rubik,vihdzp,Rubik,33,0,0.0008650948644855007,32,leanprover/lean4:v4.17.0-rc1,https://github.com/vihdzp/rubik-lean4,152.0
djvelleman/htpi,djvelleman,htpi,39,0,0.0008650948644855007,34,leanprover/lean4:v4.26.0,https://github.com/djvelleman/HTPILeanPackage,152.66666666666666
Ivan-Sergeyev/Seymour,Ivan-Sergeyev,Seymour,44,0,0.0008650948644855007,36,leanprover/lean4:v4.18.0,https://github.com/Ivan-Sergeyev/seymour,153.66666666666666
artie2000/real-closed-field,artie2000,real-closed-field,15,0,0.0008650948644855007,22,leanprover/lean4:v4.30.0-rc1,https://github.com/artie2000/real_closed_field,154.66666666666666
jsm28/IMO,jsm28,IMO,15,0,0.0008650948644855007,22,leanprover/lean4:v4.30.0-rc2,https://github.com/jsm28/IMOLean,154.66666666666666
